Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa Eastern and Southern,AFE,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,384746.71821,265076.70911999996,278192.08724,296153.80529999995,269903.45759999997,303388.46749999997,286699.81360000005,319345.19630000007,327883.6744000001,396278.3058999999,359098.55210000003,327764.3155000001,361468.62679999997,359525.6917,313396.08599999995,317176.21489999996,314774.5605,376226.647,313076.95680000004,341636.5722,330740.0,331400.0,337860.0,338280.0,344760.0,350310.0,352330.0,357750.0,374740.0,377590.0,377850.0,382600.0,405520.0,417940.0,426540.0,443630.0,444700.0,472630.0,491160.0,496350.0,515480.0,523850.0,534240.0,538060.0,543720.0,554570.0,563050.0,564380.0,570040.0,,
Africa Western and Central,AFW,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,143714.53550000006,145309.33930000002,149181.14769999997,161770.8276,146860.2617,145799.6598,154139.518,166472.3378,152491.7936,176884.31829999998,194409.5238,166798.94999999998,180682.3433,174269.80659999998,172234.01280000003,164566.4507,168040.61710000006,172553.3452,167777.60170000003,186109.2289,218010.0,231260.0,239050.0,247670.0,256810.0,251710.0,250630.0,249960.0,250930.0,248020.0,250940.0,253200.0,261970.0,277080.0,284470.0,299570.0,301570.0,303450.0,306140.0,305760.0,315610.0,327790.0,336470.0,348150.0,356630.0,368640.0,383250.0,386400.0,392130.0,,
Arab World,ARB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,220969.23100000003,229758.136,242967.361,270507.397,258537.154,254533.19600000003,285842.253,287198.89200000005,284707.252,288841.22799999994,285216.878,244921.337,233559.891,225065.99799999996,218171.565,217994.28699999995,227845.969,230602.06199999998,237653.02800000002,249031.136,270310.0,275890.0,285160.0,295600.0,306160.0,318120.0,329240.0,341370.0,352420.0,364640.0,376760.0,382970.0,395300.0,405880.0,417240.0,429040.0,434100.0,442550.0,447370.0,452990.0,456950.0,445680.0,436210.0,427240.0,418540.0,408120.0,417260.0,424580.0,433660.0,,
Caribbean small states,CSS,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,5858.075599999999,5333.099300000001,5362.003899999999,5490.903900000001,5938.043400000001,6307.809899999999,6261.1471,6347.9807,6466.9225,6255.780399999999,6638.3313,6454.5112,7083.484999999999,7043.219999999999,7127.5077,7200.348399999999,7329.480299999999,7560.551700000002,7357.6054,7191.6680000000015,14550.0,15070.0,15520.0,15750.0,15950.0,15040.0,13910.0,12790.0,11600.0,10630.0,9260.0,9430.0,9260.0,9630.0,9530.0,9420.0,9360.0,9490.0,9760.0,10050.0,10230.0,10390.0,10420.0,10640.0,10820.0,10910.0,10630.0,10830.0,10780.0,,
Central Europe and the Baltics,CEB,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,187669.71000000002,192661.11000000002,197836.66,204673.44,211302.99,217922.55,222892.55000000002,228589.21,233868.28999999998,238830.67,234602.47,221434.55000000002,233064.06000000003,255577.5,250489.4,252747.75,249330.24999999997,250363.52000000002,248988.51,240577.63,198960.0,184320.0,174780.0,164570.0,158090.0,154390.0,153470.0,150210.0,143590.0,139690.0,137800.0,140200.0,136160.0,136860.0,133980.0,133190.0,132070.0,129200.0,128280.0,124380.0,123840.0,120660.0,119110.0,117710.0,116340.0,116430.0,114510.0,114340.0,114080.0,,
Early-demographic dividend,EAR,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,1399068.9659099998,1358570.7115000004,1472206.3425299993,1481379.6375000002,1444057.56793,1450676.7863199997,1517991.7830700008,1619406.2220899998,1586560.2285300004,1613724.8678600003,1636437.2632100005,1604651.1519800008,1938576.26131,1747818.49686,1614192.47014,1623054.8032499992,1731865.7155700002,1877201.8233,1717212.2894100004,1746215.0067999999,1951300.0,1974210.0,2006320.0,2068820.0,2086790.0,2126760.0,2163410.0,2180320.0,2200990.0,2244620.0,2280940.0,2298290.0,2320380.0,2351800.0,2379120.0,2421380.0,2475220.0,2519110.0,2565380.0,2551510.0,2556090.0,2560490.0,2553910.0,2563480.0,2582040.0,2593400.0,2629630.0,2666810.0,2692600.0,,
East Asia & Pacific,EAS,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,1473797.705044,1460523.3826139998,1566962.392707,1536218.314812,1487481.4899379998,1519492.5468110002,1562340.896386,1663852.023776,1613134.7339450002,1630931.5926799998,1649089.5102170003,1600263.603092,1932387.464922,1766201.0500110001,1651366.945796,1661511.5486500002,1748192.1126700002,1881576.2670599998,1710169.61265,1730910.55724,1572630.0,1591400.0,1612020.0,1622020.0,1646960.0,1682480.0,1706370.0,1678910.0,1697840.0,1737920.0,1757500.0,1755960.0,1740540.0,1697690.0,1734890.0,1725570.0,1794880.0,1835370.0,1871250.0,1924910.0,1958060.0,2045470.0,2089850.0,2083910.0,2128930.0,2163350.0,2157920.0,2193250.0,2192480.0,,
East Asia & Pacific (excluding high income),EAP,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,1218588.1141100002,1215593.4756699998,1311788.58826,1289871.03078,1235532.9639599998,1263796.82444,1298207.35613,1401447.35251,1366457.4362799998,1378738.22084,1393288.8636000003,1358983.59384,1681424.09304,1522065.4324100004,1403499.9272999999,1400535.9608699998,1491369.7864700002,1634548.9624099997,1464862.6685799998,1483033.9147500002,1305610.0,1326060.0,1348110.0,1362420.0,1387840.0,1425290.0,1457080.0,1427500.0,1447910.0,1476930.0,1486870.0,1477520.0,1470380.0,1467740.0,1484850.0,1494830.0,1545460.0,1590310.0,1643990.0,1695080.0,1740430.0,1779790.0,1825990.0,1860280.0,1898000.0,1935910.0,1946400.0,1960870.0,1961240.0,,
East Asia & Pacific (IDA & IBRD countries),TEA,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,1203577.1887639998,1201062.9758340004,1296864.9877269997,1273993.600522,1220010.472468,1247936.361641,1281774.2117159998,1383811.1728060003,1346695.2584149998,1358566.26305,1372264.5850770003,1337511.2725419998,1659692.898332,1498521.0496810002,1380733.023076,1377397.89466,1468211.2423399999,1611083.6988799996,1442210.4105999998,1461471.7047700002,1275060.0,1297210.0,1320790.0,1336650.0,1363590.0,1402570.0,1436100.0,1407870.0,1429680.0,1459990.0,1471450.0,1461710.0,1454310.0,1452030.0,1469530.0,1479850.0,1529890.0,1574160.0,1627310.0,1677800.0,1722560.0,1761700.0,1807700.0,1841910.0,1879560.0,1917540.0,1927910.0,1942240.0,1942550.0,,
Euro area,EMU,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,370604.73,367594.3979999999,367922.71499999997,371431.019,376315.34400000004,377345.38899999997,382060.14999999997,387337.9699999999,390953.277,397092.92199999996,398555.895,397275.497,394506.30999999994,392955.688,395170.434,398309.7750000001,397621.49900000007,390996.00399999996,387689.211,391944.44999999995,425400.0,420030.0,411540.0,406720.0,399290.0,396170.0,392720.0,387290.0,379930.0,377490.0,373360.0,364240.0,356580.0,349180.0,338850.0,330280.0,322570.0,319460.0,316290.0,311720.0,308600.0,301630.0,300300.0,295800.0,291720.0,292360.0,289480.0,286920.0,283470.0,,
Europe & Central Asia,ECS,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,1272595.1546399996,1283941.6941799996,1319137.5137699998,1339425.1165000002,1364389.3509000002,1396525.80075,1429835.3615599996,1451594.2805800005,1481040.14714,1510390.8629,1524229.96772,1525553.7953700004,1557840.3874199996,1592691.03898,1604379.59331,1635757.6050699998,1665136.0617699998,1679896.99277,1707101.9983699997,1721805.3747700003,2176390.0,2081810.0,1947270.0,1888740.0,1778900.0,1730500.0,1701730.0,1661540.0,1618870.0,1613930.0,1630420.0,1647630.0,1664710.0,1713660.0,1722900.0,1717150.0,1740190.0,1747750.0,1748870.0,1693210.0,1717380.0,1726000.0,1733580.0,1722590.0,1719660.0,1715500.0,1728580.0,1725380.0,1718880.0,,
Europe & Central Asia (excluding high income),ECA,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,623639.24,634418.99,670037.46,675592.88,692952.57,716084.97,741362.89,754568.75,774253.67,788806.57,806034.4800000001,823507.6999999998,847987.0199999999,870662.1200000001,895051.9700000001,911554.89,939302.6200000001,961004.2300000001,993981.24,1012756.7100000001,1484250.0,1400330.0,1279130.0,1230320.0,1137730.0,1093330.0,1070090.0,1038520.0,1010530.0,1016080.0,1043260.0,1071460.0,1101130.0,1162640.0,1188350.0,1195790.0,1230560.0,1246470.0,1256700.0,1211950.0,1243750.0,1264040.0,1275980.0,1275480.0,1280640.0,1277440.0,1294680.0,1294300.0,1291550.0,,
Europe & Central Asia (IDA & IBRD countries),TEC,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,723798.51,737501.4699999999,776987.5599999999,787115.72,809071.98,836873.6599999999,865280.58,881224.96,904514.2699999999,922029.2600000001,934643.2400000001,937306.3499999999,973189.4299999999,1008902.7200000002,1033987.0900000001,1051994.7,1077578.31,1100039.95,1130747.54,1142171.73,1555380.0,1466600.0,1343460.0,1292740.0,1199300.0,1153540.0,1129420.0,1097630.0,1067360.0,1071900.0,1097810.0,1127720.0,1155820.0,1217740.0,1243080.0,1250930.0,1285970.0,1301150.0,1311030.0,1265030.0,1296940.0,1315910.0,1327250.0,1326780.0,1331360.0,1328640.0,1345220.0,1345300.0,1342910.0,,
European Union,EUU,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,559260.0899999999,560377.328,565695.0449999999,575997.859,587107.964,593990.989,603647.54,614358.5,623022.9369999999,634146.1919999998,631526.8549999999,616728.557,625054.2799999998,645389.918,642377.7540000002,647704.6550000001,643285.6489999999,637407.7339999998,631694.1209999999,626487.04,617530.0,597950.0,579840.0,567330.0,555700.0,549660.0,545480.0,536970.0,523220.0,517180.0,511490.0,505200.0,493020.0,486110.0,472740.0,463200.0,454390.0,448330.0,443820.0,435540.0,431930.0,421640.0,418960.0,412850.0,407550.0,408010.0,403160.0,400460.0,396790.0,,
Fragile and conflict affected situations,FCS,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,512822.12374999997,413027.91527000006,427193.86194,471709.01632,407988.60798,428774.73736,431770.09468000004,478232.5245200001,483165.4778800001,543985.3454900001,540874.6441100001,470841.48669,508616.0756,544941.03224,462124.57009000005,451191.40014999994,470038.0916300002,536484.1464300001,471827.20320000005,486981.0591299999,570120.0,581700.0,597260.0,606320.0,623890.0,629840.0,635730.0,642300.0,657290.0,664480.0,670700.0,678080.0,703840.0,726600.0,744600.0,770280.0,788390.0,814030.0,835620.0,851650.0,872450.0,874580.0,889230.0,896390.0,900910.0,907520.0,926150.0,936190.0,949530.0,,
Heavily indebted poor countries (HIPC),HPC,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,442941.73939999996,325829.71699999995,337683.97260000004,355836.4157,311553.8441,351700.8457000001,342843.43269999995,381507.5379999999,378004.97120000015,447087.14820000005,438034.08479999995,388407.06519999995,433840.1537999998,424028.7471,371268.53810000006,365519.6026,365403.63399999996,428864.1064,358717.24470000004,395624.9026,346140.0,358230.0,370510.0,379720.0,391910.0,399180.0,403390.0,411730.0,429380.0,433510.0,439410.0,440310.0,463780.0,484090.0,490200.0,512540.0,516260.0,533630.0,552330.0,561720.0,584900.0,607520.0,639900.0,671330.0,698350.0,730380.0,749560.0,756750.0,769770.0,,
High income,HIC,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,1672412.6153639995,1660202.1339639998,1689928.2909569996,1719968.841982,1730860.5937780002,1736345.5310909995,1774097.0698560001,1770449.6272260007,1755153.2073249999,1800745.6522899999,1813910.351976999,1763355.5694920006,1752950.5746120003,1733348.7767110001,1731294.6108559996,1749877.9642799997,1748342.9290399994,1737431.1364499996,1753848.1749300002,1773009.7917300002,1895570.0,1891350.0,1883260.0,1858230.0,1853240.0,1843120.0,1831430.0,1815090.0,1784980.0,1773820.0,1765870.0,1757390.0,1725760.0,1674260.0,1679310.0,1647670.0,1659360.0,1640460.0,1627290.0,1607750.0,1589300.0,1604760.0,1591250.0,1548000.0,1557300.0,1551890.0,1522530.0,1550330.0,1557710.0,,
IBRD only,IBD,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,2936443.039523999,2928403.012884001,3094552.9204269997,3079452.8727019993,3102318.170888,3187412.2043810003,3306306.649436,3390626.487586,3397110.135835,3459616.7871599994,3484574.875967,3443396.0607519997,3828182.2055319995,3670427.1798410006,3618206.392786,3664164.210409999,3801924.7828099993,3993620.3943499997,3883615.0975000006,3970793.4887399995,4236500.0,4197670.0,4125030.0,4082180.0,4058190.0,4066200.0,4088460.0,4065750.0,4088630.0,4133610.0,4175330.0,4228380.0,4284410.0,4389920.0,4474440.0,4525040.0,4613480.0,4705760.0,4797340.0,4820780.0,4925900.0,4979910.0,5017490.0,5036420.0,5073210.0,5107980.0,5152690.0,5182190.0,5191510.0,,
